bits,components,edge,levels,source_tile,stream,descriptors,retained,sparse,packet,entropy,blocks,coefficients,workspace,prepare_ms,import_us,ten_requests_us
16,1,256,5,131072,295577,6207,118208,4723,16254,5605,16,28672,723433,180,19,14605
16,1,256,6,131072,295664,6704,121408,4840,16246,5590,19,28672,723433,180,22,14505
16,1,512,2,524288,295346,2196,55712,8849,65471,7370,7,28672,722627,172,24,14228
16,1,512,5,524288,293536,2779,87040,16327,65134,8252,16,40960,723707,166,28,20834
16,1,512,6,524288,293199,2956,88304,16444,65046,8157,19,40960,724407,166,29,20921
16,1,1024,2,2097152,295407,1477,52496,33953,261381,30040,28,114688,726883,171,65,56972
16,1,1024,5,2097152,293727,1734,82576,62895,260000,32794,43,163840,736941,166,74,83938
16,1,1024,6,2097152,293311,1811,82880,63015,259607,32391,46,163840,739881,168,76,83120
8,3,256,2,196608,296741,7430,187968,8880,5465,3705,7,28672,721890,334,24,13361
8,3,256,5,196608,287020,11576,353712,17083,5015,2292,16,28672,722554,426,44,13567
8,3,256,6,196608,287171,12644,367568,17422,5006,2276,19,28672,722554,438,48,13575
8,3,512,2,786432,296375,4033,172864,32994,21856,3680,7,28672,721879,347,58,13167
8,3,512,5,786432,292999,5554,209584,33912,21008,4144,16,40960,722930,425,72,19745
8,3,512,6,786432,292463,5952,211744,34251,20922,4051,19,40960,723630,426,77,19700
8,3,1024,2,3145728,296116,2992,166672,129500,87379,15895,28,114688,726359,370,183,52537
8,3,1024,5,3145728,296174,3714,201696,130348,87394,16530,43,163840,736277,425,201,78697
8,3,1024,6,3145728,296118,3888,202560,130695,87368,16256,46,163840,739220,447,529,81432
16,3,256,2,393216,296915,7425,187056,8880,5466,3701,7,28672,721887,351,25,13288
16,3,256,5,393216,292995,11557,353648,17081,5222,2322,16,28672,722543,421,42,13544
16,3,256,6,393216,292768,12642,367600,17420,5213,2306,19,28672,722543,420,46,13502
16,3,512,2,1572864,296343,4030,171952,32994,21836,3672,7,28672,721865,355,60,13416
16,3,512,5,1572864,289549,5506,208432,33900,21144,4170,16,40960,722932,425,74,19691
16,3,512,6,1572864,291957,5908,211616,34239,21056,4075,19,40960,723632,429,80,19790
16,3,1024,2,6291456,296086,2988,165760,129498,87397,15871,28,114688,726360,395,197,58382
16,3,1024,5,6291456,283420,3658,187216,130304,83543,16353,43,163840,736279,476,200,78963
16,3,1024,6,6291456,295283,3854,188080,130671,87119,16208,46,163840,739219,452,207,79179
