probe,case,width,height,budget,raw_bytes,within_tolerance,coarseness,attempts,native_source_sse,native_nmse,native_source_peak,native_nmse_nonincreasing,input_sha256,raw_sha256,native_sha256,independent_native_peak,independent_native_differing,independent_source_sse
matrix-selected,p0-u8-c1-r1,257,193,6200,6197,True,61079,17,147556680,0.045749682234,200,true,edc168503d0779ec246ac5e57f473e4f982deb2b63c94159bdbce704d7d669b2,649299ccdd613da3ba17a8acb746a6f46263409b391e327adbdd4166c9bc00f4,f1fbff8c25b26ec4092782a857eacb07e5506e23242f45b9b530721ae5725209,1,1,147556753
matrix-selected,p0-u8-c1-r2,257,193,12400,12400,True,59453,17,68754322,0.021317153406,156,true,edc168503d0779ec246ac5e57f473e4f982deb2b63c94159bdbce704d7d669b2,82834c8117299a1a32d94d28f756a07e3c39022a405efa8cec6fc7d033185094,20ec369cf1317fa803c3b38dc6e188fbb542577dd2b6c5dbc3c48e81f2562819,0,0,68754322
matrix-selected,p0-u8-c1-r4,257,193,24800,24795,True,56135,17,10413898,0.003228810274,64,true,edc168503d0779ec246ac5e57f473e4f982deb2b63c94159bdbce704d7d669b2,25a6b4639a6e0485c07d93c0c85f7706d42cb6abd505940a837c452c012f1587,a4c44a91f92935f0e1ccab0bc6e23927ee87f16ba25f45907e199ea553306e39,0,0,10413898
matrix-selected,p0-u8-c3-r1,257,193,6200,6199,True,62488,17,680053614,0.070283131748,216,true,896ae66ef4d666fe13ff9deca2c682002f87365cfeaeff66c4e952651ba24eda,72c259486cd27ad538237fb3d6585d1a6c8bc0ac8b5c1f3babb52f4522c258ca,ff95d39fd7b281146cfa9aad03649a1cb54ecff4a32ca06c03be3945f9567331,1,1,680053507
matrix-selected,p0-u8-c3-r2,257,193,12400,12392,True,61686,17,552483591,0.057098846643,234,true,896ae66ef4d666fe13ff9deca2c682002f87365cfeaeff66c4e952651ba24eda,40c01efad3c19feffa77e3666b29df6e35ba0ab7716cde8c1d2059878e87b66a,357eb7557695f98e521b72fe0b2dd68305f2d267ce35e002d3fa28a93fbc9ee3,0,0,552483591
matrix-selected,p0-u8-c3-r4,257,193,24800,24793,True,60363,17,339214552,0.035057619809,190,true,896ae66ef4d666fe13ff9deca2c682002f87365cfeaeff66c4e952651ba24eda,abc39c6be8d5e1800e8586511c92d69078117c1d4e5adb6588ccf930c24bf222,1442bffaac0ad148470acc295321ed769809efbd32851470ae5d9c364951278c,0,0,339214552
matrix-selected,p0-u16-c1-r1,257,193,6200,6194,True,60093,17,7658484573726,0.035950571778,49725,true,2571d26e3f43e3cb9c82af1efd0548f5b1eadbeeaa4148a51f2c95046b51bbf9,afcbc645bb5fac6f90886589064c3715d38379ad83441eef9b37975d204a2aeb,69261df1075f33c3f672fae26dce7e0efd2f2abb645b08c88111d1a1153c276d,1,126,7658484344860
matrix-selected,p0-u16-c1-r2,257,193,12400,12400,True,58102,17,2484001354424,0.011660435969,30925,true,2571d26e3f43e3cb9c82af1efd0548f5b1eadbeeaa4148a51f2c95046b51bbf9,6b78795e36e3b32e55f8b77c1e3b55f87637d78e72be5b3452cee46a1ae7a506,737d28113e1aaddfaafedaa157d001e13678a126fd62893a78fe106e27f180e6,1,129,2484001527751
matrix-selected,p0-u16-c1-r4,257,193,24800,24799,True,54581,17,183542114984,0.000861586116,8424,true,2571d26e3f43e3cb9c82af1efd0548f5b1eadbeeaa4148a51f2c95046b51bbf9,f95d9cdd7f69038c4799aecd775906cd065058ab2d5b57b1cba95f11d16b5c29,2c5312fc7f03dc5f4c2c2761c5c358e9022681a8c6ec9331223e44d7c94d6109,1,153,183542218365
matrix-selected,p0-u16-c3-r1,257,193,6200,6200,True,61841,17,42433049416024,0.066396616463,61086,true,ff22c566e3dcb5f9b75f147c1caee81027fa0204348149c986c18d6b2985154c,0157df6a196216ca0b18325145f50bb563c91d2ede3e4cc6d741dadb49ccc89e,fde6b78b66d0beb0950a9d78e50c54aa927c54eade253b384eefeb662a8d4b29,1,110,42433049305302
matrix-selected,p0-u16-c3-r2,257,193,12400,12400,True,60832,17,31324402160167,0.049014490940,53326,true,ff22c566e3dcb5f9b75f147c1caee81027fa0204348149c986c18d6b2985154c,31ac1a22480fe71c9a71155c17386ce027f283d14d4f668a42b1cb7b3c7b077b,9f6f5510620e7396fe62533fc54e54f474455bd114c9e965b22da3dd3bab2b06,1,214,31324401838373
matrix-selected,p0-u16-c3-r4,257,193,24800,24790,True,59579,17,16353007359144,0.025588176494,44053,true,ff22c566e3dcb5f9b75f147c1caee81027fa0204348149c986c18d6b2985154c,aef3855ed68d7e6fae499e142cc816a81af565c1446679e5f15fa8c6f85e138c,c34682f63acfca2a72285670944ef81f60d2c04e911d9071fa112e6d39f1f547,1,323,16353007519415
matrix-selected,p1-u8-c1-r1,257,193,6200,6200,True,61059,17,145306247,0.045051939545,218,true,7390eef24c17cc83e62a6955ea7c9c8ab899a9a9dd74a98ebbfce109b2296bb4,5f8d42da0dcb77c0dda11ed94e96ee499202d0abb15e468cdc906f2a41412a61,1dd6b96f3381aef40b19a3e7cde0286c7f909ea612cf19d05d1738af12839746,0,0,145306247
matrix-selected,p1-u8-c1-r2,257,193,12400,12396,True,59451,17,66851247,0.020727108438,153,true,7390eef24c17cc83e62a6955ea7c9c8ab899a9a9dd74a98ebbfce109b2296bb4,29e1ecd94fc3ef8a1ee0c0a654633271e27926da11d9b8809fbeacc987d6851f,60b6d19e24b44b6085d01f22bc36f703fce93cfcf9467ad3a6a7290b152b6152,0,0,66851247
matrix-selected,p1-u8-c1-r4,257,193,24800,24800,True,56071,16,9659095,0.002994784966,56,true,7390eef24c17cc83e62a6955ea7c9c8ab899a9a9dd74a98ebbfce109b2296bb4,4a3a81dc7fd0e9f21a66f661c15b133727e0201e6ec8bea7aa3a1d5855d5c6bc,421575f20a47f60f88b20d04128aab3cc6d2f103ecc0916fb26d39ee66d4e9c9,0,0,9659095
matrix-selected,p1-u8-c3-r1,257,193,6200,6198,True,62464,17,676844317,0.069951452835,224,true,a1ecb7b1fa680164f389f06f503ce6882011b4f33bb954515c7d52a02bd88eae,c314ed1fe81a2caec863bfe0cdc9a5f3c33ecae865c0528af4330f6e59ccfb91,af7adaeb4ce966cbdb4cf6ff102bb8b1b15320c5448790eb791895ca5c61863a,0,0,676844317
matrix-selected,p1-u8-c3-r2,257,193,12400,12389,True,61702,17,551212518,0.056967482014,221,true,a1ecb7b1fa680164f389f06f503ce6882011b4f33bb954515c7d52a02bd88eae,aaccf299600e86b881e68b82bca8057d0867f04478593de63a60303bea102d4e,2c899d01b3793a2e696c0ab2063e84184fb9c14f8469efed3e6f3580b905be91,1,2,551212372
matrix-selected,p1-u8-c3-r4,257,193,24800,24799,True,60351,17,334664213,0.034587345011,193,true,a1ecb7b1fa680164f389f06f503ce6882011b4f33bb954515c7d52a02bd88eae,b51fe58fef6393f19328564ad08e5ba6e8d449f44ac06927af680c88cdd3e107,b72a7801e72d7eebcdc93a25fc209d9bd5294927fd61e3112e890edd28658d72,0,0,334664213
matrix-selected,p1-u16-c1-r1,257,193,6200,6196,True,61071,17,9580144289364,0.044971255293,46609,true,628adbc558d0bd7602a5eb91f7cd45034298fa79e07f6d5016d7beaab9927f74,9b0ebea993bee90cdac2a26bdedd3011dad3bf45eded5441b24eea77b895eb65,4658a78de30e280f46bd0c9c16565f3b04791172f1201a2ea47aa8cb133c7067,1,90,9580144571850
matrix-selected,p1-u16-c1-r2,257,193,12400,12398,True,59436,17,4330926655773,0.020330300088,36551,true,628adbc558d0bd7602a5eb91f7cd45034298fa79e07f6d5016d7beaab9927f74,1a29d539e6cf458c64befdb8623b207e9c52a68c799d0738054be9a333efd05b,fbe944bf714d8aa34c0468e640c15b5209e2a29aacae9e2fea9d2f9072b4ae8d,1,112,4330926670223
matrix-selected,p1-u16-c1-r4,257,193,24800,24796,True,56072,17,645793445905,0.003031493164,15886,true,628adbc558d0bd7602a5eb91f7cd45034298fa79e07f6d5016d7beaab9927f74,c43d2280f59940b8b88e6811fe71d55f669e539808f888a444ce94b439b52fc0,468b60dbd3abbbacc2e1b8cb625f0ad17c9d5375592e493afb352780dd589efd,1,124,645793490109
matrix-selected,p1-u16-c3-r1,257,193,6200,6199,True,62473,17,44351630109986,0.069398693105,57817,true,91925489ecebdb9e3a3f6b4e702b49f8ea15071ebee8d027714e9f882726e406,79a6a396f7a2b8af9c789e3452837eab43d36eef3cec7e9d25ad4100ccc16abc,e099008d2991d8782c8bd7ac78e309f31689eadf3de50ad130d353bbaad7279b,1,101,44351630112603
matrix-selected,p1-u16-c3-r2,257,193,12400,12398,True,61701,17,36044934625731,0.056400888758,54111,true,91925489ecebdb9e3a3f6b4e702b49f8ea15071ebee8d027714e9f882726e406,7f172df50af0e97f76d0d3e1027f7192ecb28a9e9cb996f8129158ed4962bdfd,24e29ce332db0ab3f765c59c6a695be1948b2b45ed8ec26a90f091ff612e4d0b,1,237,36044933830236
matrix-selected,p1-u16-c3-r4,257,193,24800,24792,True,60362,17,21874312861098,0.034227574530,48698,true,91925489ecebdb9e3a3f6b4e702b49f8ea15071ebee8d027714e9f882726e406,1b1fb18c8663f06d0e3bc6612478858603fc5179a8ce2bd0ad76a5ec358732f2,1cdca4606f007fc0031b193301f303631088c5ac58d9f4373f5cde5c309583ee,1,288,21874312379602
matrix-selected,p2-u8-c1-r1,257,193,6200,6196,True,58666,16,38275373,0.011867210296,128,true,ef60a1a5cbdf37815e55e509d1d7b1af8422b96ce610c7596e264175eff9fb73,5a778f3b23625ef665cd9496dfd8cacd6f924bb68d888b7719a061c2a0ee8132,9351f8ee1386b8aae75baa270e7b35d96dfeeeeb269e89e9344f9c3c822c5191,0,0,38275373
