bits,components,kind,stage,packet_layers,discard,stored_bytes,delivered_bytes,entropy_bytes,coefficients,passes,synthesis_samples,entropy_us,synthesis_us,decode_us,rmse,peak,object_rmse,faint_rmse,input_sha256
11,1,multi_ht,0,1,0,113924,18242,18048,65152,22,87296,362,427,1224,12.480420,60,28.852113,9.170484,1b121b1cfad1ec31ae64d70e4ea8362501cc83fcb39f457c7609041e8f927e99
11,1,multi_ht,1,5,0,113924,56668,38249,65536,25,87296,378,416,1239,3.203830,15,4.690416,3.417276,1b121b1cfad1ec31ae64d70e4ea8362501cc83fcb39f457c7609041e8f927e99
11,1,multi_ht,2,9,0,113924,113924,57067,65536,25,87296,380,440,1270,0.750630,3,0.471405,0.694222,1b121b1cfad1ec31ae64d70e4ea8362501cc83fcb39f457c7609041e8f927e99
11,1,two_ht,0,1,0,75652,18242,18048,65152,22,87296,352,418,1187,12.480420,60,28.852113,9.170484,1b121b1cfad1ec31ae64d70e4ea8362501cc83fcb39f457c7609041e8f927e99
11,1,two_ht,1,9,0,75652,75652,57067,65536,25,87296,376,425,1245,0.750630,3,0.471405,0.694222,1b121b1cfad1ec31ae64d70e4ea8362501cc83fcb39f457c7609041e8f927e99
11,1,part1,0,1,0,53863,16554,16362,65152,187,87296,3647,459,4526,12.480420,60,28.852113,9.170484,1b121b1cfad1ec31ae64d70e4ea8362501cc83fcb39f457c7609041e8f927e99
11,1,part1,1,2,0,53863,35810,35545,65536,331,87296,7002,450,7882,3.203830,15,4.690416,3.417276,1b121b1cfad1ec31ae64d70e4ea8362501cc83fcb39f457c7609041e8f927e99
11,1,part1,2,3,0,53863,53863,53529,65536,481,87296,9079,441,9957,0.750630,3,0.471405,0.694222,1b121b1cfad1ec31ae64d70e4ea8362501cc83fcb39f457c7609041e8f927e99
11,1,resolution,0,1,2,57287,2830,2669,4096,10,5376,15,16,59,32.132425,421,123.013098,18.958998,1b121b1cfad1ec31ae64d70e4ea8362501cc83fcb39f457c7609041e8f927e99
11,1,resolution,1,1,1,57287,12523,12347,16384,13,21760,78,73,249,23.382049,354,100.226410,17.813127,1b121b1cfad1ec31ae64d70e4ea8362501cc83fcb39f457c7609041e8f927e99
11,1,resolution,2,1,0,57287,57287,57067,65536,25,87296,371,416,1206,0.750630,3,0.471405,0.694222,1b121b1cfad1ec31ae64d70e4ea8362501cc83fcb39f457c7609041e8f927e99
11,3,multi_ht,0,1,0,341871,54650,54306,195456,66,261888,1065,1274,3621,12.177430,63,18.910119,10.186570,1255c7e986325af55e5fc61861e50c69c5517844bfd6ae374d07de80d2275529
11,3,multi_ht,1,5,0,341871,170272,115090,196608,75,261888,1131,1251,3701,3.134299,16,3.067150,3.337622,1255c7e986325af55e5fc61861e50c69c5517844bfd6ae374d07de80d2275529
11,3,multi_ht,2,9,0,341871,341871,171032,196608,75,261888,1259,1409,4187,0.738502,3,0.272166,0.721431,1255c7e986325af55e5fc61861e50c69c5517844bfd6ae374d07de80d2275529
11,3,two_ht,0,1,0,226711,54650,54306,195456,66,261888,1063,1250,3568,12.177430,63,18.910119,10.186570,1255c7e986325af55e5fc61861e50c69c5517844bfd6ae374d07de80d2275529
11,3,two_ht,1,9,0,226711,226711,171032,196608,75,261888,1117,1255,3703,0.738502,3,0.272166,0.721431,1255c7e986325af55e5fc61861e50c69c5517844bfd6ae374d07de80d2275529
11,3,part1,0,1,0,160538,49420,49063,195456,552,261888,10836,1303,13398,12.177430,63,18.910119,10.186570,1255c7e986325af55e5fc61861e50c69c5517844bfd6ae374d07de80d2275529
11,3,part1,1,2,0,160538,106773,106198,196608,984,261888,20828,1312,23400,3.134299,16,3.067150,3.337622,1255c7e986325af55e5fc61861e50c69c5517844bfd6ae374d07de80d2275529
11,3,part1,2,3,0,160538,160538,159756,196608,1434,261888,27019,1307,29619,0.738502,3,0.272166,0.721431,1255c7e986325af55e5fc61861e50c69c5517844bfd6ae374d07de80d2275529
11,3,resolution,0,1,2,171454,8368,8123,12288,30,16128,68,50,212,32.210306,422,128.586907,19.140869,1255c7e986325af55e5fc61861e50c69c5517844bfd6ae374d07de80d2275529
11,3,resolution,1,1,1,171454,37518,37228,49152,39,65280,287,224,838,23.434382,354,102.613442,17.942831,1255c7e986325af55e5fc61861e50c69c5517844bfd6ae374d07de80d2275529
11,3,resolution,2,1,0,171454,171454,171032,196608,75,261888,1109,1252,3649,0.738502,3,0.272166,0.721431,1255c7e986325af55e5fc61861e50c69c5517844bfd6ae374d07de80d2275529
16,1,multi_ht,0,1,0,157270,18230,18036,65152,22,87296,419,450,1394,389.164129,1890,653.540103,297.296938,775d536495f8b983517c4eaebdde3f565dd528da74fb047b4c866b86d55da20b
16,1,multi_ht,1,5,0,157270,56693,38286,65536,25,87296,438,438,1378,101.430553,377,71.320871,104.137292,775d536495f8b983517c4eaebdde3f565dd528da74fb047b4c866b86d55da20b
16,1,multi_ht,2,19,0,157270,157270,99916,65536,25,87296,500,422,1373,0.654993,2,0.471405,0.664580,775d536495f8b983517c4eaebdde3f565dd528da74fb047b4c866b86d55da20b
16,1,two_ht,0,1,0,118901,18230,18036,65152,22,87296,374,440,1246,389.164129,1890,653.540103,297.296938,775d536495f8b983517c4eaebdde3f565dd528da74fb047b4c866b86d55da20b
